year,metric,mean,median,std,min,p25,p75,max
2022,pct_age_18_24,24.604166666666668,11.35,27.913201012785002,1.7,7.975,24.474999999999998,96.9
2022,pct_age_65_plus,13.745833333333332,12.5,10.121305910470909,0.1,7.35,19.025,40.7
2022,pct_age_under_18,17.3625,18.95,9.705002548587254,0.0,11.424999999999999,23.95,45.1
2022,pct_bachelors_or_higher,49.98333333333333,52.15,22.535214366072108,9.9,33.75,67.55,90.9
2022,pct_black_non_hispanic,12.562083333333334,7.085,14.863074330235293,0.05,2.575,16.8625,60.68
2022,pct_family_households,48.85708333333333,52.965,23.06062739807631,1.65,38.045,65.0475,85.95
2022,pct_hh_income_100k_plus,29.2625,32.65,20.285469330470193,0.0,7.45,48.1,69.2
2022,pct_hh_income_25k_50k,19.943749999999998,18.35,9.490777298167114,4.2,12.95,25.45,48.4
2022,pct_hh_income_50k_100k,25.420833333333334,25.25,10.649042676648357,2.4,19.2,31.7,46.9
2022,pct_hh_income_under_25k,25.395833333333332,17.75,22.48070528095322,1.9,10.275,29.775,83.7
2022,pct_high_school_grad,19.83125,19.5,11.542763344983639,1.2,10.200000000000001,30.45,41.8
2022,pct_hispanic,6.686875,5.495,5.093459367116624,0.22,2.945,9.365,24.4
2022,pct_households_with_65_plus,22.152083333333337,22.299999999999997,14.599183736775897,0.0,11.175,30.75,57.4
2022,pct_households_with_own_children_under_18,20.26770833333333,20.165,11.866201822839296,0.0,13.7875,27.665,44.12
2022,pct_less_than_high_school,5.427083333333333,3.7,6.1462231815288915,0.0,1.475,6.8,30.3
2022,pct_nonfamily_households,51.14291666666666,47.035,23.060627398076313,14.05,34.9525,61.955,98.35
2022,pct_one_person_households,37.62916666666666,36.8,13.664629886282247,9.2,28.425,44.575,74.1
2022,pct_owner_occupied,50.280833333333334,51.145,29.669626766817768,0.0,29.8925,76.55000000000001,90.03
2022,pct_rent_burden_30_plus,44.06999999999999,44.29,13.866138765183305,12.63,35.6825,54.6825,64.68
2022,pct_rent_burden_50_plus,24.083125,22.490000000000002,14.316328894144586,0.0,14.03,30.4775,58.81
2022,pct_renter_occupied,49.719166666666666,48.855,29.669626766817775,9.97,23.45,70.1075,100.0
2022,pct_senior_living_alone_households,9.322916666666666,8.55,7.168317989697336,0.0,3.8,11.875,31.1
2022,pct_some_college_or_associate,24.76875,25.7,10.730076168157805,0.0,17.349999999999998,32.800000000000004,48.5
2022,pct_speak_language_other_than_english_at_home,17.93541666666667,15.600000000000001,12.20539625309377,1.1,7.5249999999999995,26.375,52.0
2022,pct_vacant_housing_units,11.903958333333334,8.885000000000002,9.279893098151538,0.0,4.8549999999999995,16.36,40.79
2022,pct_white_non_hispanic,64.91854166666667,65.255,21.058462087426722,11.58,52.185,79.3375,95.49
2022,poverty_rate,22.895833333333332,13.600000000000001,24.11451366923136,1.9,6.4,28.925,90.9
2022,total_population,4302.604166666667,4165.0,1647.6639780802154,1641.0,3290.0,4862.0,8362.0
2022,unemployment_rate,4.708333333333333,3.45,3.537809956849031,0.0,1.6,7.125,12.8
2023,avg_household_size_v2,2.2595833333333335,2.225,0.3727868499035245,1.39,2.01,2.5225,3.09
2023,employment_population_ratio,58.27916666666666,61.5,11.3583591550468,29.6,52.35,65.45,80.3
2023,labor_force_participation_rate,61.2125,63.55,11.964675400812531,31.0,55.3,69.575,85.8
2023,median_household_income,67772.59574468085,66334.0,32578.07815925329,5982.0,46387.5,94072.5,126495.0
2023,pct_age_18_24,23.925,11.2,27.35650764696214,1.3,7.725,23.475,96.7
2023,pct_age_65_plus,13.877083333333333,13.2,9.822493499417513,0.1,7.15,18.55,40.2
2023,pct_age_under_18,17.925,18.6,9.556717588368393,0.0,13.399999999999999,24.5,42.3
2023,pct_bachelors_or_higher,49.81666666666666,51.9,22.09850609501026,9.1,33.25,67.27499999999999,86.3
2023,pct_black_non_hispanic,12.655416666666667,7.085,14.904798450296859,0.05,2.66,13.0625,55.85
2023,pct_family_households,48.83416666666667,53.735,22.865136690746567,0.0,39.057500000000005,65.3425,86.86
2023,pct_hh_income_100k_plus,30.602083333333336,32.65,20.244531592436587,0.0,8.9,47.4,68.9
2023,pct_hh_income_25k_50k,18.816666666666666,16.450000000000003,8.557846550894244,5.1,13.325,23.325,46.1
2023,pct_hh_income_50k_100k,25.864583333333332,27.1,10.750724658075793,0.0,19.45,32.35,47.2
2023,pct_hh_income_under_25k,24.735416666666666,15.65,22.305981352050264,3.3,9.5,30.275000000000002,85.1
2023,pct_high_school_grad,20.620833333333334,20.15,12.089541080872312,0.9,10.674999999999999,30.6,44.8
2023,pct_hispanic,8.360833333333334,7.355,6.036616930999614,0.63,4.6275,11.4825,28.59
2023,pct_households_with_65_plus,22.36041666666667,22.65,13.855711466692243,0.0,15.05,29.825,54.6
2023,pct_households_with_own_children_under_18,20.422083333333333,21.215,11.988093198924476,0.0,12.34,28.087500000000002,45.26
2023,pct_less_than_high_school,4.870833333333334,3.3499999999999996,5.42848900779963,0.0,1.375,5.825,24.0
2023,pct_nonfamily_households,51.16583333333333,46.265,22.865136690746567,13.14,34.6575,60.942499999999995,100.0
2023,pct_one_person_households,37.74375,35.849999999999994,14.781211568255557,8.5,29.45,42.425,78.7
2023,pct_owner_occupied,50.369791666666664,53.385000000000005,30.02005319070396,0.0,29.455,77.185,90.96
2023,pct_rent_burden_30_plus,44.130625,45.99,12.927734396341085,15.17,31.9675,53.65,65.21
2023,pct_rent_burden_50_plus,24.410625,21.965,14.050979583667408,3.9,13.997499999999999,31.5125,61.16
2023,pct_renter_occupied,49.630208333333336,46.614999999999995,30.020053190703962,9.04,22.814999999999998,70.545,100.0
2023,pct_senior_living_alone_households,9.231250000000001,9.5,6.557346253906151,0.0,5.3,12.025,29.3
2023,pct_some_college_or_associate,24.683333333333334,23.45,10.158495728255877,0.0,16.625,33.349999999999994,40.7
2023,pct_speak_language_other_than_english_at_home,18.7,16.6,12.090474534445914,1.0,10.075,27.525,50.6
2023,pct_vacant_housing_units,11.219166666666666,9.115,8.499033945936702,0.0,5.2299999999999995,13.9175,36.75
2023,pct_white_non_hispanic,63.44708333333333,66.15,21.35536565774247,9.65,48.3725,78.39,94.72
2023,poverty_rate,22.26875,13.25,23.919156003842826,1.1,6.7,26.125,90.7
2023,total_population,4293.708333333333,3967.0,1644.2765331220555,1563.0,3383.0,5023.25,8439.0
2023,unemployment_rate,4.395833333333333,3.45,3.2659401782988846,0.0,1.775,6.325,13.2
