year,tract_geoid,display_area_label,primary_place,primary_zip,landmark_context_note,area_type,cluster_label,estimated_alice_households,estimated_alice_rate_proxy_pct,median_household_income,poverty_rate,unemployment_rate,pct_hh_income_under_25k,pct_rent_burden_30_plus,pct_age_18_24,pct_bachelors_or_higher,rank_basis,rank_group
2021,17019005901,Urbana — Student-dense area,Urbana,61801.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,Student-dense area,cluster_1,194.74607097174925,49.427936794860216,,83.1,4.9,87.6,53.64,93.3,64.0,estimated_alice_rate_proxy_pct,top_15
2021,17019005601,Urbana — Mixed residential area,Urbana,61802.0,General tract context note not flagged by the current rule set.,Mixed residential area,cluster_0,1207.4401627076645,48.78546111950159,48702.0,11.1,10.2,24.7,47.65,10.9,53.1,estimated_alice_rate_proxy_pct,top_15
2022,17019001201,Champaign — Mixed residential area,Champaign,61821.0,General tract context note not flagged by the current rule set.,Mixed residential area,cluster_0,1813.4725546342852,60.36859369621455,52813.0,18.8,7.0,24.2,47.84,12.2,35.4,estimated_alice_households,top_15
2022,17019005300,Urbana — Student-dense area,Urbana,61801.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,Student-dense area,cluster_1,1737.455648677016,75.14946577322735,25759.0,44.3,7.5,47.3,44.19,48.7,39.7,estimated_alice_households,top_15
2022,17019000301,Champaign — Student-dense area,Champaign,61820.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,Student-dense area,cluster_1,1712.377144866199,78.83872674337933,5413.0,84.2,10.7,79.8,59.99,88.8,70.8,estimated_alice_households,top_15
2022,17019005701,Urbana — Senior-heavy residential area,Urbana,61801.0,Older age profile.,Senior-heavy residential area,cluster_0,1622.391733913426,67.34710393995125,50272.0,19.3,10.9,28.2,58.8,11.0,52.3,estimated_alice_households,top_15
2022,17019005401,Urbana — Mixed residential area,Urbana,61802.0,Renter-heavy housing profile; more very-low-income households.,Mixed residential area,cluster_0,1578.1189449299343,71.31129439358041,35721.0,20.5,9.2,41.3,55.44,23.9,36.6,estimated_alice_households,top_15
2022,17019000901,Champaign — Family-oriented residential area,Champaign,61821.0,More very-low-income households; more households with children.,Family-oriented residential area,cluster_0,1441.9014417749595,74.9818742472678,42380.0,19.0,8.5,24.8,52.15,18.0,14.9,estimated_alice_households,top_15
2022,17019005601,Urbana — Mixed residential area,Urbana,61802.0,General tract context note not flagged by the current rule set.,Mixed residential area,cluster_0,1335.0852939961967,53.66098448537768,54748.0,11.6,8.3,20.4,43.64,13.2,48.7,estimated_alice_households,top_15
2022,17019010100,Rantoul — Mixed residential area,Rantoul,61866.0,General tract context note not flagged by the current rule set.,Mixed residential area,cluster_0,1203.5632960533244,56.718345714105766,48248.0,7.4,1.1,21.6,37.8,5.8,14.0,estimated_alice_households,top_15
2022,17019000302,Champaign — Student-dense area,Champaign,61820.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,Student-dense area,cluster_1,1171.876338690266,69.0557653912944,11922.0,63.2,1.6,64.8,60.58,72.2,75.0,estimated_alice_households,top_15
2022,17019005500,Urbana — Senior-heavy residential area,Urbana,61802.0,Older age profile.,Senior-heavy residential area,cluster_0,1139.9707935815866,51.746291129441055,58266.0,21.7,3.1,24.1,41.37,11.0,44.1,estimated_alice_households,top_15
2022,17019010204,Rantoul — Mixed residential area,Rantoul,61866.0,General tract context note not flagged by the current rule set.,Mixed residential area,cluster_0,1120.245984397093,58.10404483387413,49167.0,24.8,5.4,26.2,38.53,10.5,11.9,estimated_alice_households,top_15
2022,17019010300,Rantoul — Family-oriented residential area,Rantoul,61866.0,Renter-heavy housing profile; higher poverty rate; more households with children.,Family-oriented residential area,cluster_0,1090.7397137924695,89.62528461729414,38498.0,29.6,11.0,21.5,60.1,10.1,9.9,estimated_alice_households,top_15
2022,17019000700,Champaign — Mixed residential area,Champaign,61820.0,General tract context note not flagged by the current rule set.,Mixed residential area,cluster_0,1086.0566225208818,76.86175672476162,46185.0,28.7,12.0,23.3,23.91,14.4,11.9,estimated_alice_households,top_15
2022,17019000800,Champaign — Mixed residential area,Champaign,61822.0,Renter-heavy housing profile.,Mixed residential area,cluster_0,1065.482038194997,35.32765378630626,64760.0,11.8,4.6,11.8,30.66,19.9,55.1,estimated_alice_households,top_15
2022,17019001000,Champaign — Mixed residential area,Champaign,61821.0,General tract context note not flagged by the current rule set.,Mixed residential area,cluster_0,907.1706212781054,44.4038483249195,62306.0,19.7,4.0,15.0,49.73,14.9,46.6,estimated_alice_households,top_15
2022,17019000200,Champaign — Higher economic stress area,Champaign,61820.0,Higher poverty rate; more very-low-income households.,Higher economic stress area,cluster_0,802.2889767029509,89.84199067222295,32054.0,40.3,9.7,40.5,53.2,26.2,19.5,estimated_alice_rate_proxy_pct,top_15
2022,17019010300,Rantoul — Family-oriented residential area,Rantoul,61866.0,Renter-heavy housing profile; higher poverty rate; more households with children.,Family-oriented residential area,cluster_0,1090.7397137924695,89.62528461729414,38498.0,29.6,11.0,21.5,60.1,10.1,9.9,estimated_alice_rate_proxy_pct,top_15
2022,17019000301,Champaign — Student-dense area,Champaign,61820.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,Student-dense area,cluster_1,1712.377144866199,78.83872674337933,5413.0,84.2,10.7,79.8,59.99,88.8,70.8,estimated_alice_rate_proxy_pct,top_15
2022,17019000700,Champaign — Mixed residential area,Champaign,61820.0,General tract context note not flagged by the current rule set.,Mixed residential area,cluster_0,1086.0566225208818,76.86175672476162,46185.0,28.7,12.0,23.3,23.91,14.4,11.9,estimated_alice_rate_proxy_pct,top_15
2022,17019005300,Urbana — Student-dense area,Urbana,61801.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,Student-dense area,cluster_1,1737.455648677016,75.14946577322735,25759.0,44.3,7.5,47.3,44.19,48.7,39.7,estimated_alice_rate_proxy_pct,top_15
2022,17019000901,Champaign — Family-oriented residential area,Champaign,61821.0,More very-low-income households; more households with children.,Family-oriented residential area,cluster_0,1441.9014417749595,74.9818742472678,42380.0,19.0,8.5,24.8,52.15,18.0,14.9,estimated_alice_rate_proxy_pct,top_15
2022,17019005901,Urbana — Student-dense area,Urbana,61801.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,Student-dense area,cluster_1,303.41212661837034,74.91657447367169,6964.0,78.2,4.8,83.7,60.88,92.3,71.3,estimated_alice_rate_proxy_pct,top_15
