tract_geoid,display_area_label,primary_place,primary_zip,landmark_context_note,area_type,cluster_label,2019,2021,2022,2023,metric,change_first_to_last,change_2019_to_2021,change_2021_to_2022,change_2022_to_2023
17019005402,Urbana — Senior-heavy residential area,Urbana,61802.0,Older age profile.,Senior-heavy residential area,cluster_0,54.98361635284167,39.326334161000055,39.87539468779103,40.02929662923705,estimated_alice_rate_proxy_pct,-14.95431972360462,-15.657282191841617,0.5490605267909743,0.15390194144602276
17019000402,Champaign — Student-dense area,Champaign,61820.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,Student-dense area,cluster_1,60.96163694855402,51.22034456596081,67.81617312676597,58.91860851283938,estimated_alice_rate_proxy_pct,-2.043028435714646,-9.741292382593215,16.595828560805167,-8.897564613926598
17019010300,Rantoul — Family-oriented residential area,Rantoul,61866.0,Renter-heavy housing profile; higher poverty rate; more households with children.,Family-oriented residential area,cluster_0,65.50139203388615,63.43980732608843,89.62528461729414,74.85744838059118,estimated_alice_rate_proxy_pct,9.356056346705032,-2.0615847077977207,26.185477291205714,-14.767836236702962
17019011100,Urbana — Student-dense area,Urbana,61801.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,Student-dense area,cluster_1,62.18607667626164,54.35375414966602,69.03595134349078,61.85855176104208,estimated_alice_rate_proxy_pct,-0.32752491521956273,-7.832322526595625,14.682197193824763,-7.1773995824487
17019001000,Champaign — Mixed residential area,Champaign,61821.0,General tract context note not flagged by the current rule set.,Mixed residential area,cluster_0,32.341076082321266,32.868912369203365,44.4038483249195,36.415323905116345,estimated_alice_rate_proxy_pct,4.07424782279508,0.5278362868820992,11.534935955716136,-7.988524419803156
17019000200,Champaign — Higher economic stress area,Champaign,61820.0,Higher poverty rate; more very-low-income households.,Higher economic stress area,cluster_0,86.27129630714843,66.09440073965713,89.84199067222295,78.08867666579447,estimated_alice_rate_proxy_pct,-8.182619641353966,-20.1768955674913,23.747589932565816,-11.753314006428482
17019005702,Urbana — Senior-heavy residential area,Urbana,61802.0,Older age profile.,Senior-heavy residential area,cluster_0,35.665740134562554,12.155470740515836,5.810866529335504,4.78677133200068,estimated_alice_rate_proxy_pct,-30.878968802561875,-23.510269394046716,-6.344604211180332,-1.024095197334824
17019001302,Savoy — Senior-heavy residential area,Savoy,61822.0,Older age profile.,Senior-heavy residential area,cluster_0,27.4741313845701,23.048038898993504,18.237339576548543,10.880074709814169,estimated_alice_rate_proxy_pct,-16.594056674755933,-4.426092485576596,-4.810699322444961,-7.357264866734374
17019001400,Champaign — Family-oriented residential area,Champaign,61874.0,Higher student concentration; more households with children.,Family-oriented residential area,cluster_0,32.63570466893639,25.501122347089755,23.82389633254091,23.172869571889645,estimated_alice_rate_proxy_pct,-9.462835097046746,-7.134582321846636,-1.6772260145488431,-0.6510267606512663
17019010400,Rantoul — Senior-heavy residential area,Rantoul,61866.0,Older age profile.,Senior-heavy residential area,cluster_0,29.014810730901,26.528717449057705,26.96493825960416,21.195805916506217,estimated_alice_rate_proxy_pct,-7.819004814394784,-2.4860932818432957,0.43622081054645534,-5.769132343097944
17019010603,Mahomet — Family-oriented residential area,Mahomet,61853.0,More households with children.,Family-oriented residential area,cluster_0,20.568105292822494,16.536357574177153,19.228670511170844,26.021125873357136,estimated_alice_rate_proxy_pct,5.453020580534641,-4.031747718645342,2.692312936993691,6.792455362186292
17019005800,Urbana — Higher economic stress area,Urbana,61801.0,Higher poverty rate; more very-low-income households.,Higher economic stress area,cluster_0,33.9878914570315,33.523142368483065,41.60445385011792,40.52824651625808,estimated_alice_rate_proxy_pct,6.540355059226577,-0.46474908854843733,8.081311481634856,-1.0762073338598412
17019001301,Champaign — Senior-heavy residential area,Champaign,61821.0,Older age profile.,Senior-heavy residential area,cluster_0,18.955805891469456,28.63521056960557,35.0005974304921,30.751734696147643,estimated_alice_rate_proxy_pct,11.795928804678187,9.679404678136112,6.365386860886531,-4.248862734344456
17019010800,Sidney — Senior-heavy residential area,Sidney,61877.0,More households with children; older age profile.,Senior-heavy residential area,cluster_0,26.58417961017753,26.356614080608,30.04894869957429,28.9550922562522,estimated_alice_rate_proxy_pct,2.3709126460746717,-0.22756552956952802,3.6923346189662887,-1.093856443322089
17019001205,Champaign — Family-oriented residential area,Champaign,61822.0,More households with children.,Family-oriented residential area,cluster_0,15.073305231700376,33.251315276807134,25.73314622151513,26.11639825186757,estimated_alice_rate_proxy_pct,11.043093020167193,18.17801004510676,-7.518169055292002,0.3832520303524376
17019010604,Champaign — Senior-heavy residential area,Champaign,61822.0,Older age profile.,Senior-heavy residential area,cluster_0,40.93312709896156,21.969359079146088,14.898330325786253,15.071451210466876,estimated_alice_rate_proxy_pct,-25.861675888494688,-18.963768019815475,-7.071028753359835,0.17312088468062292
17019001100,Champaign — Senior-heavy residential area,Champaign,61821.0,Older age profile.,Senior-heavy residential area,cluster_0,20.85805277870544,21.62952794378413,19.246231576626688,25.042778642362585,estimated_alice_rate_proxy_pct,4.184725863657146,0.7714751650786908,-2.383296367157442,5.796547065735897
17019006000,Urbana — Student-dense area,Urbana,61802.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,Student-dense area,cluster_1,46.63358951297624,37.22105190248909,52.359988687204286,48.76968059901049,estimated_alice_rate_proxy_pct,2.1360910860342486,-9.412537610487156,15.138936784715199,-3.590308088193794
17019001203,Champaign — Senior-heavy residential area,Champaign,61821.0,Older age profile.,Senior-heavy residential area,cluster_0,14.608604997312966,16.261857229560185,7.039313052747047,11.493912074704472,estimated_alice_rate_proxy_pct,-3.1146929226084943,1.653252232247219,-9.222544176813138,4.454599021957425
17019000401,Champaign — Student-dense area,Champaign,61820.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,Student-dense area,cluster_1,57.28076891179826,52.73840650693664,71.06208747365405,57.08582246370917,estimated_alice_rate_proxy_pct,-0.194946448089091,-4.5423624048616205,18.323680966717404,-13.976265009944875
17019010500,Fisher — Family-oriented residential area,Fisher,61843.0,More households with children; older age profile.,Family-oriented residential area,cluster_0,15.26880445967036,11.020884231298036,0.0546524639008661,0.0477288987644366,estimated_alice_rate_proxy_pct,-15.221075560905923,-4.247920228372324,-10.966231767397169,-0.006923565136429499
17019010601,Mahomet — Family-oriented residential area,Mahomet,61853.0,More households with children.,Family-oriented residential area,cluster_0,6.847948966279755,6.508024775661189,3.999302864751765,13.954215322564467,estimated_alice_rate_proxy_pct,7.106266356284713,-0.33992419061856527,-2.5087219109094243,9.954912457812702
17019001206,Champaign — Senior-heavy residential area,Champaign,61822.0,Older age profile.,Senior-heavy residential area,cluster_0,16.359849196201427,17.69692588301179,10.631438970977564,8.54427241888458,estimated_alice_rate_proxy_pct,-7.815576777316847,1.337076686810363,-7.065486912034226,-2.0871665520929845
17019001204,Champaign — Family-oriented residential area,Champaign,61822.0,More households with children; older age profile.,Family-oriented residential area,cluster_0,0.0431408129536114,0.0364226572639118,15.955074755610404,8.366997177872717,estimated_alice_rate_proxy_pct,8.323856364919106,-0.0067181556896995995,15.918652098346492,-7.588077577737687
17019001201,Champaign — Mixed residential area,Champaign,61821.0,General tract context note not flagged by the current rule set.,Mixed residential area,cluster_0,19.3,15.1,18.8,24.6,poverty_rate,5.300000000000001,-4.200000000000001,3.700000000000001,5.800000000000001
17019005401,Urbana — Mixed residential area,Urbana,61802.0,Renter-heavy housing profile; more very-low-income households.,Mixed residential area,cluster_0,28.7,22.5,20.5,15.2,poverty_rate,-13.5,-6.199999999999999,-2.0,-5.300000000000001
17019010100,Rantoul — Mixed residential area,Rantoul,61866.0,General tract context note not flagged by the current rule set.,Mixed residential area,cluster_0,14.6,8.7,7.4,6.9,poverty_rate,-7.699999999999999,-5.9,-1.299999999999999,-0.5
17019005300,Urbana — Student-dense area,Urbana,61801.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,Student-dense area,cluster_1,49.6,47.2,44.3,42.9,poverty_rate,-6.700000000000003,-2.3999999999999986,-2.9000000000000057,-1.3999999999999986
17019000301,Champaign — Student-dense area,Champaign,61820.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,Student-dense area,cluster_1,82.5,81.5,84.2,86.7,poverty_rate,4.200000000000003,-1.0,2.700000000000003,2.5
17019000901,Champaign — Family-oriented residential area,Champaign,61821.0,More very-low-income households; more households with children.,Family-oriented residential area,cluster_0,28.3,27.1,19.0,13.7,poverty_rate,-14.600000000000001,-1.1999999999999993,-8.100000000000001,-5.300000000000001
17019005701,Urbana — Senior-heavy residential area,Urbana,61801.0,Older age profile.,Senior-heavy residential area,cluster_0,14.7,17.2,19.3,13.8,poverty_rate,-0.8999999999999986,2.5,2.1000000000000014,-5.5
17019000500,Champaign — Mixed residential area,Champaign,61820.0,More households with children.,Mixed residential area,cluster_0,29.3,16.7,19.1,17.2,poverty_rate,-12.100000000000001,-12.600000000000001,2.400000000000002,-1.9000000000000021
17019010204,Rantoul — Mixed residential area,Rantoul,61866.0,General tract context note not flagged by the current rule set.,Mixed residential area,cluster_0,16.4,21.0,24.8,20.1,poverty_rate,3.700000000000003,4.600000000000001,3.8000000000000007,-4.699999999999999
17019000902,Champaign — Family-oriented residential area,Champaign,61822.0,More households with children.,Family-oriented residential area,cluster_0,10.6,8.6,9.2,7.8,poverty_rate,-2.8,-2.0,0.5999999999999996,-1.3999999999999995
17019000800,Champaign — Mixed residential area,Champaign,61822.0,Renter-heavy housing profile.,Mixed residential area,cluster_0,8.5,12.7,11.8,12.5,poverty_rate,4.0,4.199999999999999,-0.8999999999999986,0.6999999999999993
17019000700,Champaign — Mixed residential area,Champaign,61820.0,General tract context note not flagged by the current rule set.,Mixed residential area,cluster_0,24.3,30.2,28.7,24.8,poverty_rate,0.5,5.899999999999999,-1.5,-3.8999999999999986
17019005500,Urbana — Senior-heavy residential area,Urbana,61802.0,Older age profile.,Senior-heavy residential area,cluster_0,12.3,12.2,21.7,18.6,poverty_rate,6.300000000000001,-0.10000000000000142,9.5,-3.099999999999998
17019000302,Champaign — Student-dense area,Champaign,61820.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,Student-dense area,cluster_1,68.4,63.5,63.2,60.4,poverty_rate,-8.000000000000007,-4.900000000000006,-0.29999999999999716,-2.8000000000000043
17019005402,Urbana — Senior-heavy residential area,Urbana,61802.0,Older age profile.,Senior-heavy residential area,cluster_0,18.0,19.1,20.7,18.8,poverty_rate,0.8000000000000007,1.1000000000000014,1.5999999999999979,-1.8999999999999986
17019000402,Champaign — Student-dense area,Champaign,61820.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,Student-dense area,cluster_1,87.8,89.1,87.3,87.8,poverty_rate,0.0,1.2999999999999972,-1.7999999999999972,0.5
17019010300,Rantoul — Family-oriented residential area,Rantoul,61866.0,Renter-heavy housing profile; higher poverty rate; more households with children.,Family-oriented residential area,cluster_0,27.1,29.6,29.6,30.1,poverty_rate,3.0,2.5,0.0,0.5
17019011100,Urbana — Student-dense area,Urbana,61801.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,Student-dense area,cluster_1,56.3,52.6,52.9,45.9,poverty_rate,-10.399999999999999,-3.6999999999999957,0.29999999999999716,-7.0
17019001000,Champaign — Mixed residential area,Champaign,61821.0,General tract context note not flagged by the current rule set.,Mixed residential area,cluster_0,15.7,12.5,19.7,21.8,poverty_rate,6.100000000000001,-3.1999999999999993,7.199999999999999,2.1000000000000014
