Column Name,Label
S0101_C04_006E,Estimate_Percent Male_Total population_AGE_20 to 24 years
S0101_C04_006M,Margin of Error_Percent Male_Total population_AGE_20 to 24 years
S0101_C04_007E,Estimate_Percent Male_Total population_AGE_25 to 29 years
S0101_C04_007M,Margin of Error_Percent Male_Total population_AGE_25 to 29 years
S0101_C04_008E,Estimate_Percent Male_Total population_AGE_30 to 34 years
S0101_C04_008M,Margin of Error_Percent Male_Total population_AGE_30 to 34 years
S0101_C04_009E,Estimate_Percent Male_Total population_AGE_35 to 39 years
S0101_C04_009M,Margin of Error_Percent Male_Total population_AGE_35 to 39 years
S0101_C04_010E,Estimate_Percent Male_Total population_AGE_40 to 44 years
S0101_C04_010M,Margin of Error_Percent Male_Total population_AGE_40 to 44 years
S0101_C04_011E,Estimate_Percent Male_Total population_AGE_45 to 49 years
S0101_C04_011M,Margin of Error_Percent Male_Total population_AGE_45 to 49 years
S0101_C04_012E,Estimate_Percent Male_Total population_AGE_50 to 54 years
S0101_C04_012M,Margin of Error_Percent Male_Total population_AGE_50 to 54 years
S0101_C04_013E,Estimate_Percent Male_Total population_AGE_55 to 59 years
S0101_C04_013M,Margin of Error_Percent Male_Total population_AGE_55 to 59 years
S0101_C04_014E,Estimate_Percent Male_Total population_AGE_60 to 64 years
S0101_C04_014M,Margin of Error_Percent Male_Total population_AGE_60 to 64 years
S0101_C04_015E,Estimate_Percent Male_Total population_AGE_65 to 69 years
S0101_C04_015M,Margin of Error_Percent Male_Total population_AGE_65 to 69 years
S0101_C04_016E,Estimate_Percent Male_Total population_AGE_70 to 74 years
S0101_C04_016M,Margin of Error_Percent Male_Total population_AGE_70 to 74 years
S0101_C04_017E,Estimate_Percent Male_Total population_AGE_75 to 79 years
S0101_C04_017M,Margin of Error_Percent Male_Total population_AGE_75 to 79 years
S0101_C04_018E,Estimate_Percent Male_Total population_AGE_80 to 84 years
S0101_C04_018M,Margin of Error_Percent Male_Total population_AGE_80 to 84 years
S0101_C04_019E,Estimate_Percent Male_Total population_AGE_85 years and over
S0101_C04_019M,Margin of Error_Percent Male_Total population_AGE_85 years and over
S0101_C04_020E,Estimate_Percent Male_Total population_SELECTED AGE CATEGORIES_5 to 14 years
