"Column Name","Label"
"S1601_C03_016E","Percent of specified language speakers!!Speak English  less than "very well"!!Estimate!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Asian and Pacific Island languages"
"S1601_C03_016M","Percent of specified language speakers!!Speak English  less than "very well"!!Margin of Error!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Asian and Pacific Island languages"
"S1601_C01_017E","Total!!Estimate!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Asian and Pacific Island languages!!5-17 years"
"S1601_C01_017M","Total!!Margin of Error!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Asian and Pacific Island languages!!5-17 years"
"S1601_C02_017E","Percent of specified language speakers!!Speak English "very well"!!Estimate!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Asian and Pacific Island languages!!5-17 years"
"S1601_C02_017M","Percent of specified language speakers!!Speak English "very well"!!Margin of Error!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Asian and Pacific Island languages!!5-17 years"
"S1601_C03_017E","Percent of specified language speakers!!Speak English  less than "very well"!!Estimate!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Asian and Pacific Island languages!!5-17 years"
"S1601_C03_017M","Percent of specified language speakers!!Speak English  less than "very well"!!Margin of Error!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Asian and Pacific Island languages!!5-17 years"
"S1601_C01_018E","Total!!Estimate!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Asian and Pacific Island languages!!18-64 years"
"S1601_C01_018M","Total!!Margin of Error!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Asian and Pacific Island languages!!18-64 years"
"S1601_C02_018E","Percent of specified language speakers!!Speak English "very well"!!Estimate!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Asian and Pacific Island languages!!18-64 years"
"S1601_C02_018M","Percent of specified language speakers!!Speak English "very well"!!Margin of Error!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Asian and Pacific Island languages!!18-64 years"
"S1601_C03_018E","Percent of specified language speakers!!Speak English  less than "very well"!!Estimate!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Asian and Pacific Island languages!!18-64 years"
"S1601_C03_018M","Percent of specified language speakers!!Speak English  less than "very well"!!Margin of Error!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Asian and Pacific Island languages!!18-64 years"
"S1601_C01_019E","Total!!Estimate!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Asian and Pacific Island languages!!65 years and over"
"S1601_C01_019M","Total!!Margin of Error!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Asian and Pacific Island languages!!65 years and over"
"S1601_C02_019E","Percent of specified language speakers!!Speak English "very well"!!Estimate!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Asian and Pacific Island languages!!65 years and over"
"S1601_C02_019M","Percent of specified language speakers!!Speak English "very well"!!Margin of Error!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Asian and Pacific Island languages!!65 years and over"
"S1601_C03_019E","Percent of specified language speakers!!Speak English  less than "very well"!!Estimate!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Asian and Pacific Island languages!!65 years and over"
"S1601_C03_019M","Percent of specified language speakers!!Speak English  less than "very well"!!Margin of Error!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Asian and Pacific Island languages!!65 years and over"
"S1601_C01_020E","Total!!Estimate!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other languages"
"S1601_C01_020M","Total!!Margin of Error!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other languages"
"S1601_C02_020E","Percent of specified language speakers!!Speak English "very well"!!Estimate!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other languages"
"S1601_C02_020M","Percent of specified language speakers!!Speak English "very well"!!Margin of Error!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other languages"
"S1601_C03_020E","Percent of specified language speakers!!Speak English  less than "very well"!!Estimate!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other languages"
"S1601_C03_020M","Percent of specified language speakers!!Speak English  less than "very well"!!Margin of Error!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other languages"
"S1601_C01_021E","Total!!Estimate!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other languages!!5-17 years"
"S1601_C01_021M","Total!!Margin of Error!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other languages!!5-17 years"
"S1601_C02_021E","Percent of specified language speakers!!Speak English "very well"!!Estimate!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other languages!!5-17 years"
"S1601_C02_021M","Percent of specified language speakers!!Speak English "very well"!!Margin of Error!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other languages!!5-17 years"
"S1601_C03_021E","Percent of specified language speakers!!Speak English  less than "very well"!!Estimate!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other languages!!5-17 years"
"S1601_C03_021M","Percent of specified language speakers!!Speak English  less than "very well"!!Margin of Error!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other languages!!5-17 years"
