source_table,metric_group,metric_name,metric_kind
S0101,age,s0101_c05_032e,derived
S0101,age,s0101_c05_032m,derived
S0101,age,s0101_c06_002e,derived
S0101,age,s0101_c06_002m,derived
S0101,age,s0101_c06_003e,derived
S0101,age,s0101_c06_003m,derived
S0101,age,s0101_c06_004e,derived
S0101,age,s0101_c06_004m,derived
S0101,age,s0101_c06_005e,derived
S0101,age,s0101_c06_005m,derived
S0101,age,s0101_c06_006e,derived
S0101,age,s0101_c06_006m,derived
S0101,age,s0101_c06_007e,derived
S0101,age,s0101_c06_007m,derived
S0101,age,s0101_c06_008e,derived
S0101,age,s0101_c06_008m,derived
S0101,age,s0101_c06_009e,derived
S0101,age,s0101_c06_009m,derived
S0101,age,s0101_c06_010e,derived
S0101,age,s0101_c06_010m,derived
S0101,age,s0101_c06_011e,derived
S0101,age,s0101_c06_011m,derived
S0101,age,s0101_c06_012e,derived
S0101,age,s0101_c06_012m,derived
S0101,age,s0101_c06_013e,derived
S0101,age,s0101_c06_013m,derived
S0101,age,s0101_c06_014e,derived
S0101,age,s0101_c06_014m,derived
S0101,age,s0101_c06_015e,derived
S0101,age,s0101_c06_015m,derived
S0101,age,s0101_c06_016e,derived
S0101,age,s0101_c06_016m,derived
S0101,age,s0101_c06_017e,derived
S0101,age,s0101_c06_017m,derived
S0101,age,s0101_c06_018e,derived
S0101,age,s0101_c06_018m,derived
S0101,age,s0101_c06_019e,derived
S0101,age,s0101_c06_019m,derived
S0101,age,s0101_c06_020e,derived
S0101,age,s0101_c06_020m,derived
S0101,age,s0101_c06_021e,derived
S0101,age,s0101_c06_021m,derived
S0101,age,s0101_c06_022e,derived
S0101,age,s0101_c06_022m,derived
S0101,age,s0101_c06_023e,derived
S0101,age,s0101_c06_023m,derived
S0101,age,s0101_c06_024e,derived
S0101,age,s0101_c06_024m,derived
S0101,age,s0101_c06_025e,derived
S0101,age,s0101_c06_025m,derived
S0101,age,s0101_c06_026e,derived
S0101,age,s0101_c06_026m,derived
S0101,age,s0101_c06_027e,derived
S0101,age,s0101_c06_027m,derived
S0101,age,s0101_c06_028e,derived
S0101,age,s0101_c06_028m,derived
S0101,age,s0101_c06_029e,derived
S0101,age,s0101_c06_029m,derived
S0101,age,s0101_c06_030e,derived
S0101,age,s0101_c06_030m,derived
S0101,age,s0101_c06_031e,derived
S0101,age,s0101_c06_031m,derived
S1101,household_composition,s1101_c01_001e,derived
S1101,household_composition,s1101_c01_001m,derived
S1101,household_composition,s1101_c01_002e,derived
S1101,household_composition,s1101_c01_002m,derived
S1101,household_composition,s1101_c01_003e,derived
S1101,household_composition,s1101_c01_003m,derived
S1101,household_composition,s1101_c01_004e,derived
S1101,household_composition,s1101_c01_004m,derived
S1101,household_composition,s1101_c01_005e,derived
S1101,household_composition,s1101_c01_005m,derived
S1101,household_composition,s1101_c01_006e,derived
S1101,household_composition,s1101_c01_006m,derived
S1101,household_composition,s1101_c01_007e,derived
S1101,household_composition,s1101_c01_007m,derived
S1101,household_composition,s1101_c01_008e,derived
S1101,household_composition,s1101_c01_008m,derived
S1101,household_composition,s1101_c01_009e,derived
S1101,household_composition,s1101_c01_009m,derived
S1101,household_composition,s1101_c01_010e,derived
S1101,household_composition,s1101_c01_010m,derived
S1101,household_composition,s1101_c01_011e,derived
S1101,household_composition,s1101_c01_011m,derived
S1101,household_composition,s1101_c01_012e,derived
S1101,household_composition,s1101_c01_012m,derived
S1101,household_composition,s1101_c01_013e,derived
S1101,household_composition,s1101_c01_013m,derived
S1101,household_composition,s1101_c01_014e,derived
S1101,household_composition,s1101_c01_014m,derived
S1101,household_composition,s1101_c01_015e,derived
S1101,household_composition,s1101_c01_015m,derived
S1101,household_composition,s1101_c01_016e,derived
S1101,household_composition,s1101_c01_016m,derived
S1101,household_composition,s1101_c01_017e,derived
S1101,household_composition,s1101_c01_017m,derived
S1101,household_composition,s1101_c01_018e,derived
S1101,household_composition,s1101_c01_018m,derived
S1101,household_composition,s1101_c02_001e,derived
S1101,household_composition,s1101_c02_001m,derived
S1101,household_composition,s1101_c02_002e,derived
S1101,household_composition,s1101_c02_002m,derived
S1101,household_composition,s1101_c02_003e,derived
S1101,household_composition,s1101_c02_003m,derived
S1101,household_composition,s1101_c02_004e,derived
S1101,household_composition,s1101_c02_004m,derived
S1101,household_composition,s1101_c02_005e,derived
S1101,household_composition,s1101_c02_005m,derived
S1101,household_composition,s1101_c02_006e,derived
S1101,household_composition,s1101_c02_006m,derived
S1101,household_composition,s1101_c02_007e,derived
S1101,household_composition,s1101_c02_007m,derived
S1101,household_composition,s1101_c02_008e,derived
S1101,household_composition,s1101_c02_008m,derived
S1101,household_composition,s1101_c02_009e,derived
S1101,household_composition,s1101_c02_009m,derived
S1101,household_composition,s1101_c02_010e,derived
S1101,household_composition,s1101_c02_010m,derived
S1101,household_composition,s1101_c02_011e,derived
S1101,household_composition,s1101_c02_011m,derived
S1101,household_composition,s1101_c02_014e,derived
S1101,household_composition,s1101_c02_014m,derived
S1101,household_composition,s1101_c02_015e,derived
S1101,household_composition,s1101_c02_015m,derived
S1101,household_composition,s1101_c02_016e,derived
S1101,household_composition,s1101_c02_016m,derived
S1101,household_composition,s1101_c02_017e,derived
S1101,household_composition,s1101_c02_017m,derived
S1101,household_composition,s1101_c02_018e,derived
S1101,household_composition,s1101_c02_018m,derived
S1101,household_composition,s1101_c03_001e,derived
S1101,household_composition,s1101_c03_001m,derived
S1101,household_composition,s1101_c03_002e,derived
S1101,household_composition,s1101_c03_002m,derived
S1101,household_composition,s1101_c03_003e,derived
S1101,household_composition,s1101_c03_003m,derived
S1101,household_composition,s1101_c03_004e,derived
S1101,household_composition,s1101_c03_004m,derived
S1101,household_composition,s1101_c03_005e,derived
S1101,household_composition,s1101_c03_005m,derived
S1101,household_composition,s1101_c03_006e,derived
S1101,household_composition,s1101_c03_006m,derived
S1101,household_composition,s1101_c03_007e,derived
S1101,household_composition,s1101_c03_007m,derived
S1101,household_composition,s1101_c03_008e,derived
S1101,household_composition,s1101_c03_008m,derived
S1101,household_composition,s1101_c03_009e,derived
S1101,household_composition,s1101_c03_009m,derived
S1101,household_composition,s1101_c03_010e,derived
S1101,household_composition,s1101_c03_010m,derived
S1101,household_composition,s1101_c03_011e,derived
S1101,household_composition,s1101_c03_011m,derived
S1101,household_composition,s1101_c03_014e,derived
S1101,household_composition,s1101_c03_014m,derived
S1101,household_composition,s1101_c03_015e,derived
S1101,household_composition,s1101_c03_015m,derived
S1101,household_composition,s1101_c03_016e,derived
S1101,household_composition,s1101_c03_016m,derived
S1101,household_composition,s1101_c03_017e,derived
S1101,household_composition,s1101_c03_017m,derived
S1101,household_composition,s1101_c03_018e,derived
S1101,household_composition,s1101_c03_018m,derived
S1101,household_composition,s1101_c04_001e,derived
S1101,household_composition,s1101_c04_001m,derived
S1101,household_composition,s1101_c04_002e,derived
S1101,household_composition,s1101_c04_002m,derived
S1101,household_composition,s1101_c04_003e,derived
S1101,household_composition,s1101_c04_003m,derived
S1101,household_composition,s1101_c04_004e,derived
S1101,household_composition,s1101_c04_004m,derived
S1101,household_composition,s1101_c04_005e,derived
S1101,household_composition,s1101_c04_005m,derived
S1101,household_composition,s1101_c04_006e,derived
S1101,household_composition,s1101_c04_006m,derived
S1101,household_composition,s1101_c04_007e,derived
S1101,household_composition,s1101_c04_007m,derived
S1101,household_composition,s1101_c04_008e,derived
S1101,household_composition,s1101_c04_008m,derived
S1101,household_composition,s1101_c04_009e,derived
S1101,household_composition,s1101_c04_009m,derived
S1101,household_composition,s1101_c04_010e,derived
S1101,household_composition,s1101_c04_010m,derived
S1101,household_composition,s1101_c04_011e,derived
S1101,household_composition,s1101_c04_011m,derived
S1101,household_composition,s1101_c04_014e,derived
S1101,household_composition,s1101_c04_014m,derived
S1101,household_composition,s1101_c04_015e,derived
S1101,household_composition,s1101_c04_015m,derived
S1101,household_composition,s1101_c04_016e,derived
S1101,household_composition,s1101_c04_016m,derived
S1101,household_composition,s1101_c04_017e,derived
S1101,household_composition,s1101_c04_017m,derived
S1101,household_composition,s1101_c04_018e,derived
S1101,household_composition,s1101_c04_018m,derived
S1101,household_composition,s1101_c05_001e,derived
S1101,household_composition,s1101_c05_001m,derived
S1101,household_composition,s1101_c05_002e,derived
S1101,household_composition,s1101_c05_002m,derived
