year,serialno,state,puma,wgtp,np,hincp,fincp,adjinc,hht,hht2,noc,npf,fparc,person_count,adult_count,college_age_count,student_enrolled_count,likely_college_student_count,employed_count,reference_person_count,reference_person_student_flag,has_any_likely_college_student,has_any_student,has_any_college_age_person,has_any_employed_person,student_share_of_persons,student_share_of_adults,college_age_share_of_persons,student_heavy_flag_rule_a,student_heavy_flag_rule_b,analysis_weight,hincp_adj_real,student_heavy_flag,hh_comp_key,below_alice_flag,annual_alice_threshold
2019,2019HU1032119,17,2100,113,1,14000.0,,1010145,4.0,9.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,113.0,14142.03,0,1_adult_0_child,1,33838.68
2019,2019HU1035861,17,2100,58,4,37600.0,,1010145,7.0,8.0,0.0,,,4,4,4,4,4,4,1,1,1,1,1,1,1.0,1.0,1.0,1,0,58.0,37981.452,0,3plus_adult_0_child,1,55415.09
2019,2019HU1037186,17,2100,184,2,21000.0,21000.0,1010145,1.0,2.0,0.0,2.0,4.0,2,2,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,184.0,21213.045,0,2_adult_0_child,1,45201.89
2019,2019HU1037224,17,2100,18,2,30500.0,30500.0,1010145,1.0,2.0,0.0,2.0,4.0,2,2,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0,0,18.0,30809.4225,0,2_adult_0_child,1,45201.89
2019,2019HU1040656,17,2100,149,1,26000.0,,1010145,4.0,9.0,0.0,,,1,1,0,1,0,0,1,0,0,1,0,0,0.0,0.0,0.0,0,0,149.0,26263.77,0,1_adult_0_child,1,33838.68
2019,2019HU1040963,17,2100,55,2,37100.0,37100.0,1010145,1.0,2.0,0.0,2.0,4.0,2,2,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0,0,55.0,37476.3795,0,2_adult_0_child,1,45201.89
2019,2019HU1042837,17,2100,191,2,18900.0,18900.0,1010145,1.0,2.0,0.0,2.0,4.0,2,2,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0,0,191.0,19091.7405,0,2_adult_0_child,1,45201.89
2019,2019HU1054734,17,2100,116,1,20000.0,,1010145,4.0,9.0,0.0,,,1,1,1,1,1,0,1,1,1,1,1,0,1.0,1.0,1.0,1,1,116.0,20202.9,1,1_adult_0_child,1,33838.68
2019,2019HU1061422,17,2100,172,2,33500.0,,1010145,7.0,4.0,0.0,,,2,2,0,2,0,2,1,0,0,1,0,1,0.0,0.0,0.0,0,0,172.0,33839.8575,0,2_adult_0_child,1,45201.89
2019,2019HU1065398,17,2100,114,2,41500.0,41500.0,1010145,1.0,2.0,0.0,2.0,4.0,2,2,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0,0,114.0,41921.0175,0,2_adult_0_child,1,45201.89
2019,2019HU1067015,17,2100,319,1,28000.0,,1010145,4.0,9.0,0.0,,,1,1,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0,0,319.0,28284.06,0,1_adult_0_child,1,33838.68
2019,2019HU1068098,17,2100,87,1,12000.0,,1010145,6.0,5.0,0.0,,,1,1,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0,0,87.0,12121.74,0,1_adult_0_child,1,33838.68
2019,2019HU1074294,17,2100,114,1,22400.0,,1010145,6.0,5.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,114.0,22627.248,0,1_adult_0_child,1,33838.68
2019,2019HU1074332,17,2100,322,4,40000.0,40000.0,1010145,1.0,1.0,2.0,4.0,2.0,4,2,0,2,0,1,1,0,0,1,0,1,0.0,0.0,0.0,0,0,322.0,40405.8,0,2_adult_2plus_child,1,62274.53
2019,2019HU1086231,17,2100,65,2,16000.0,,1010145,7.0,4.0,0.0,,,2,2,2,0,0,1,1,0,0,0,1,1,0.0,0.0,1.0,0,0,65.0,16162.32,0,2_adult_0_child,1,45201.89
2019,2019HU1087766,17,2100,79,3,52400.0,52400.0,1010145,1.0,2.0,0.0,3.0,4.0,3,3,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0,0,79.0,52931.598,0,3plus_adult_0_child,1,55415.09
