year,tract_geoid,display_area_label,primary_place,primary_zip,landmark_context_note,centroid_lat,centroid_lon,tract_number,tract_name_canonical,is_stable_all_4_years,avg_household_size_v2,employment_population_ratio,labor_force_participation_rate,median_household_income,pct_age_18_24,pct_age_65_plus,pct_age_under_18,pct_bachelors_or_higher,pct_black_non_hispanic,pct_family_households,pct_hh_income_100k_plus,pct_hh_income_25k_50k,pct_hh_income_50k_100k,pct_hh_income_under_25k,pct_high_school_grad,pct_hispanic,pct_households_with_65_plus,pct_households_with_own_children_under_18,pct_less_than_high_school,pct_nonfamily_households,pct_one_person_households,pct_owner_occupied,pct_rent_burden_30_plus,pct_rent_burden_50_plus,pct_renter_occupied,pct_senior_living_alone_households,pct_some_college_or_associate,pct_speak_language_other_than_english_at_home,pct_vacant_housing_units,pct_white_non_hispanic,poverty_rate,total_population,unemployment_rate
2019,17019010700,,,,,,,107,Census Tract 107,0,2.78,66.8,68.1,89767.0,7.4,14.6,26.4,32.1,0.26,77.69,42.3,12.7,31.0,13.9,30.1,0.91,18.6,37.73,1.7,22.31,8.3,86.21,48.11,31.49,13.79,92.5,36.0,1.7,3.97,97.39,5.1,8007.0,1.9
2019,17019010800,Sidney — Senior-heavy residential area,Sidney,61877.0,More households with children; older age profile.,39.96077755981303,-88.06275539987071,108,Census Tract 108,1,2.58,60.1,63.1,72740.0,6.1,18.0,24.4,24.1,0.56,72.33,34.4,19.3,33.3,13.1,31.4,0.93,21.0,28.12,5.5,27.67,8.3,88.49,34.95,8.74,11.51,95.8,39.1,0.7,9.33,97.38,7.7,4614.0,4.7
2019,17019010900,,,,,,,109,Census Tract 109,0,2.64,66.4,68.5,73347.0,12.7,15.0,21.9,33.6,1.64,65.67,33.7,16.0,34.8,15.7,26.8,2.5,27.9,28.59,2.7,34.33,12.5,81.29,33.59,21.18,18.71,83.9,36.9,2.8,8.87,91.98,12.2,9366.0,3.0
2019,17019011000,,,,,,,110,Census Tract 110,0,1.69,76.4,79.2,41196.0,18.9,8.2,6.7,64.0,11.47,19.71,21.6,28.7,18.9,30.7,6.2,4.62,61.7,7.52,1.1,80.29,5.4,21.32,47.41,18.82,78.68,30.3,28.6,12.8,12.09,74.82,15.0,4463.0,2.7
2019,17019011100,Urbana — Student-dense area,Urbana,61801.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,40.11409763212329,-88.21447402494275,111,Census Tract 111,1,2.18,48.7,55.3,22741.0,61.7,0.9,2.4,67.0,5.41,7.96,2.8,26.5,16.0,54.8,8.3,7.54,46.4,3.52,3.4,92.04,1.3,4.63,49.56,26.67,95.37,10.5,21.3,46.5,15.55,40.98,56.3,2440.0,11.9
2021,17019000200,Champaign — Higher economic stress area,Champaign,61820.0,Higher poverty rate; more very-low-income households.,40.12297727012885,-88.23303820803416,2,Census Tract 2,1,2.51,47.8,52.7,25531.0,20.6,8.4,25.0,19.6,66.35,54.4,2.2,30.5,18.2,49.1,34.9,6.6,18.8,26.93,11.7,45.6,33.8,38.55,52.47,32.51,61.45,9.4,33.8,21.7,17.25,11.83,39.0,2333.0,9.3
2021,17019000301,Champaign — Student-dense area,Champaign,61820.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,40.11083056062445,-88.23549759213894,3.01,Census Tract 3.01,1,2.61,36.0,38.7,5512.0,88.6,0.8,0.3,64.6,5.97,2.13,1.2,15.0,4.2,79.6,20.1,4.11,0.0,0.83,6.2,97.87,44.3,0.0,62.64,56.08,100.0,0.0,9.1,36.3,24.53,53.72,81.5,5815.0,7.1
2021,17019000302,Champaign — Student-dense area,Champaign,61820.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,40.11446918924631,-88.2350976348271,3.02,Census Tract 3.02,1,1.57,46.8,48.7,9771.0,68.4,0.9,0.0,65.6,4.36,4.46,2.2,21.5,12.3,64.1,8.8,4.75,1.4,0.0,4.2,95.54,69.7,0.0,55.63,43.63,100.0,1.4,21.3,54.9,31.84,29.08,63.5,2545.0,4.0
2021,17019000401,Champaign — Student-dense area,Champaign,61820.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,40.1069887905841,-88.23234019148553,4.01,Census Tract 4.01,1,2.39,28.2,30.2,4476.0,96.9,0.1,0.7,64.8,3.21,1.47,0.0,8.7,3.3,88.0,2.5,7.16,0.0,0.0,0.0,98.53,49.7,0.0,65.19,57.09,100.0,0.0,32.8,21.6,26.82,67.58,90.5,4987.0,6.5
2021,17019000402,Champaign — Student-dense area,Champaign,61820.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,40.1066171021187,-88.23889734753926,4.02,Census Tract 4.02,1,2.22,33.6,35.6,3416.0,87.1,0.2,0.3,92.0,6.75,2.72,3.2,9.5,0.0,87.2,1.8,9.87,0.7,0.0,0.0,97.28,55.3,0.0,59.04,51.93,100.0,0.7,6.2,32.6,32.78,54.78,89.1,3556.0,5.6
2021,17019000500,Champaign — Mixed residential area,Champaign,61820.0,More households with children.,40.1052051044491,-88.25087992661743,5,Census Tract 5,1,1.86,73.2,75.0,59701.0,12.3,11.6,15.4,71.3,14.36,39.31,33.0,13.0,26.2,27.7,8.4,3.14,15.9,23.88,0.6,60.69,49.5,38.49,47.45,32.57,61.51,5.6,19.6,9.0,7.23,74.31,16.7,3441.0,2.4
2021,17019000700,Champaign — Mixed residential area,Champaign,61820.0,General tract context note not flagged by the current rule set.,40.12911964670084,-88.2463742564862,7,Census Tract 7,1,2.76,61.8,71.2,39173.0,15.1,9.1,28.0,12.1,37.35,55.89,6.0,33.4,30.1,30.5,37.6,17.53,20.2,23.28,25.6,44.11,34.3,48.71,38.66,19.89,51.29,8.8,24.7,17.5,10.94,37.06,30.2,3845.0,13.2
2021,17019000800,Champaign — Mixed residential area,Champaign,61822.0,Renter-heavy housing profile.,40.15017672250663,-88.24710786804413,8,Census Tract 8,1,2.23,80.1,83.8,60946.0,15.4,8.5,21.1,55.0,21.6,43.89,24.9,15.7,48.5,10.9,16.6,7.62,12.0,22.83,5.8,56.11,38.2,26.18,25.24,11.88,73.82,5.4,22.6,30.3,4.19,48.5,12.7,6584.0,4.4
2021,17019000901,Champaign — Family-oriented residential area,Champaign,61821.0,More very-low-income households; more households with children.,40.12977778291398,-88.26829601472002,9.01,Census Tract 9.01,1,2.51,63.8,71.1,39673.0,15.8,6.8,29.9,11.7,52.92,54.1,7.4,33.0,28.8,30.9,30.4,14.21,15.1,29.19,12.4,45.9,42.1,36.8,39.66,17.8,63.2,11.0,45.5,14.7,15.29,28.81,27.1,4679.0,10.2
2021,17019000902,Champaign — Family-oriented residential area,Champaign,61822.0,More households with children.,40.12831209870508,-88.3148535419392,9.02,Census Tract 9.02,1,2.52,61.8,66.2,62228.0,12.7,10.7,25.9,36.7,23.25,55.27,29.9,14.2,43.5,12.5,17.5,2.12,22.0,29.83,7.6,44.73,32.3,64.19,36.87,11.58,35.81,11.1,38.2,23.7,4.43,58.54,8.6,7345.0,6.6
2021,17019001000,Champaign — Mixed residential area,Champaign,61821.0,General tract context note not flagged by the current rule set.,40.11702324024364,-88.27235942332679,10,Census Tract 10,1,2.07,71.8,74.8,62457.0,14.9,11.7,17.4,52.2,15.98,47.56,31.5,21.3,25.9,21.3,22.4,2.39,16.3,22.83,0.7,52.44,31.6,54.38,55.45,10.7,45.62,7.8,24.7,4.2,18.46,76.42,12.5,4482.0,3.2
2021,17019001100,Champaign — Senior-heavy residential area,Champaign,61821.0,Older age profile.,40.10547701256571,-88.26718054450109,11,Census Tract 11,1,2.29,68.8,69.3,81941.0,11.2,21.3,20.9,65.2,9.11,62.97,37.8,15.7,37.8,8.8,8.3,5.9,34.5,23.91,1.9,37.03,32.2,72.89,43.86,22.5,27.11,9.5,24.7,9.7,3.34,79.45,4.7,3712.0,0.8
2021,17019001201,Champaign — Mixed residential area,Champaign,61821.0,General tract context note not flagged by the current rule set.,40.10569426459247,-88.2906752821151,12.01,Census Tract 12.01,1,2.37,61.8,67.8,49476.0,12.5,13.6,25.1,38.7,31.34,59.87,14.2,33.2,34.6,18.0,25.3,5.32,20.1,26.14,6.8,40.13,33.0,50.15,26.9,10.39,49.85,8.9,29.2,21.0,10.54,45.59,15.1,7013.0,8.3
2021,17019001203,Champaign — Senior-heavy residential area,Champaign,61821.0,Older age profile.,40.09108824198521,-88.28580828059093,12.03,Census Tract 12.03,1,2.27,67.6,69.7,79570.0,8.7,16.8,20.3,45.0,13.02,61.62,34.5,17.0,42.2,6.3,19.7,1.9,25.4,18.17,3.8,38.38,37.0,74.05,17.3,4.02,25.95,12.9,31.5,6.4,3.09,79.22,3.2,4423.0,3.0
2021,17019001204,Champaign — Family-oriented residential area,Champaign,61822.0,More households with children; older age profile.,40.06935621376529,-88.28995631669251,12.04,Census Tract 12.04,1,2.74,60.6,61.9,126013.0,3.0,19.3,27.2,69.9,4.71,76.87,67.0,7.3,21.2,4.5,6.0,3.39,32.6,39.84,2.2,23.13,21.2,82.56,18.64,6.78,17.44,6.7,21.9,27.8,6.04,64.48,1.7,3713.0,2.0
