year,tract_geoid,display_area_label,raw_metric_value,z_score,directed_component,metric
2023,17019010701,St. Joseph — Family-oriented residential area,4.3,-0.7512284295111901,-0.7512284295111901,poverty_rate
2023,17019010702,Census Tract 107.02 — Family-oriented residential area,6.9,-0.642528941971484,-0.642528941971484,poverty_rate
2023,17019010800,Census Tract 108 — Senior-heavy residential area,7.5,-0.6174444448469365,-0.6174444448469365,poverty_rate
2023,17019010901,Census Tract 109.01 — Family-oriented residential area,6.1,-0.6759749381375475,-0.6759749381375475,poverty_rate
2023,17019010902,Census Tract 109.02 — Family-oriented residential area,5.1,-0.7177824333451268,-0.7177824333451268,poverty_rate
2023,17019011001,Champaign — Mixed residential area,8.9,-0.5589139515563255,-0.5589139515563255,poverty_rate
2023,17019011002,Champaign — Higher-income residential area,18.1,-0.17428499564659608,-0.17428499564659608,poverty_rate
2023,17019011100,Urbana — Student-dense area,45.9,0.9879633711241077,0.9879633711241077,poverty_rate
2019,17019000200,Champaign — Higher economic stress area,12.2,2.4384574697157313,2.0726888492583715,unemployment_rate
2019,17019000301,Champaign — Student-dense area,5.1,0.011922054121817483,0.01013374600354486,unemployment_rate
2019,17019000302,Champaign — Student-dense area,2.4,-0.9108449349068539,-0.7742181946708259,unemployment_rate
2019,17019000401,Champaign — Student-dense area,6.0,0.3195110504647081,0.2715843928950019,unemployment_rate
2019,17019000402,Champaign — Student-dense area,7.7,0.9005124880012791,0.7654356148010872,unemployment_rate
2019,17019000500,Champaign — Mixed residential area,4.5,-0.19313727677344272,-0.1641666852574263,unemployment_rate
2019,17019000700,Champaign — Mixed residential area,10.3,1.7891029218807408,1.5207374835986296,unemployment_rate
2019,17019000800,Champaign — Mixed residential area,2.6,-0.8424918246084337,-0.7161180509171686,unemployment_rate
2019,17019000901,Champaign — Family-oriented residential area,10.3,1.7891029218807408,1.5207374835986296,unemployment_rate
2019,17019000902,Census Tract 9.02 — Family-oriented residential area,3.4,-0.5690793834147534,-0.4837174759025404,unemployment_rate
2019,17019001000,Champaign — Mixed residential area,2.2,-0.979198045205274,-0.8323183384244829,unemployment_rate
2019,17019001100,Champaign — Senior-heavy residential area,0.5,-1.560199482741845,-1.3261695603305683,unemployment_rate
2019,17019001201,Champaign — Mixed residential area,9.5,1.5156904806870601,1.288336908584001,unemployment_rate
2019,17019001203,Champaign — Senior-heavy residential area,3.5,-0.5349028282655433,-0.45466740402571176,unemployment_rate
2019,17019001204,Champaign — Family-oriented residential area,3.7,-0.46654971796712313,-0.39656726027205463,unemployment_rate
2019,17019001205,Champaign — Family-oriented residential area,2.4,-0.9108449349068539,-0.7742181946708259,unemployment_rate
2019,17019001206,Census Tract 12.06 — Senior-heavy residential area,1.1,-1.3551401518465847,-1.1518691290695968,unemployment_rate
