tract_geoid,display_area_label,primary_place,primary_zip,landmark_context_note,tract_number,2019,2021,2022,2023,metric,change_first_to_last,change_2019_to_2021,change_2021_to_2022,change_2022_to_2023
17019000301,Champaign — Student-dense area,Champaign,61820.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,3.01,5.1,7.1,10.7,11.5,unemployment_rate,6.4,2.0,3.5999999999999996,0.8000000000000007
17019000302,Champaign — Student-dense area,Champaign,61820.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,3.02,2.4,4.0,1.6,1.8,unemployment_rate,-0.5999999999999999,1.6,-2.4,0.19999999999999996
17019000401,Champaign — Student-dense area,Champaign,61820.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,4.01,6.0,6.5,4.5,4.3,unemployment_rate,-1.7000000000000002,0.5,-2.0,-0.20000000000000018
17019000402,Champaign — Student-dense area,Champaign,61820.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,4.02,7.7,5.6,3.4,1.6,unemployment_rate,-6.1,-2.1000000000000005,-2.1999999999999997,-1.7999999999999998
17019000500,Champaign — Mixed residential area,Champaign,61820.0,More households with children.,5,4.5,2.4,3.3,1.9,unemployment_rate,-2.6,-2.1,0.8999999999999999,-1.4
17019000700,Champaign — Mixed residential area,Champaign,61820.0,General tract context note not flagged by the current rule set.,7,10.3,13.2,12.0,6.4,unemployment_rate,-3.9000000000000004,2.8999999999999986,-1.1999999999999993,-5.6
17019000800,Champaign — Mixed residential area,Champaign,61822.0,Renter-heavy housing profile.,8,2.6,4.4,4.6,5.2,unemployment_rate,2.6,1.8000000000000003,0.1999999999999993,0.6000000000000005
17019000901,Champaign — Family-oriented residential area,Champaign,61821.0,More very-low-income households; more households with children.,9.01,10.3,10.2,8.5,3.4,unemployment_rate,-6.9,-0.10000000000000142,-1.6999999999999993,-5.1
17019000902,Champaign — Family-oriented residential area,Champaign,61822.0,More households with children.,9.02,3.4,6.6,5.1,7.4,unemployment_rate,4.0,3.1999999999999997,-1.5,2.3000000000000007
17019001000,Champaign — Mixed residential area,Champaign,61821.0,General tract context note not flagged by the current rule set.,10,2.2,3.2,4.0,1.0,unemployment_rate,-1.2000000000000002,1.0,0.7999999999999998,-3.0
17019001100,Champaign — Senior-heavy residential area,Champaign,61821.0,Older age profile.,11,0.5,0.8,1.3,3.0,unemployment_rate,2.5,0.30000000000000004,0.5,1.7
17019001201,Champaign — Mixed residential area,Champaign,61821.0,General tract context note not flagged by the current rule set.,12.01,9.5,8.3,7.0,7.4,unemployment_rate,-2.0999999999999996,-1.1999999999999993,-1.3000000000000007,0.40000000000000036
17019001203,Champaign — Senior-heavy residential area,Champaign,61821.0,Older age profile.,12.03,3.5,3.0,2.6,2.7,unemployment_rate,-0.7999999999999998,-0.5,-0.3999999999999999,0.10000000000000009
17019001204,Champaign — Family-oriented residential area,Champaign,61822.0,More households with children; older age profile.,12.04,3.7,2.0,6.6,5.0,unemployment_rate,1.2999999999999998,-1.7000000000000002,4.6,-1.5999999999999996
17019001205,Champaign — Family-oriented residential area,Champaign,61822.0,More households with children.,12.05,2.4,3.2,1.6,1.1,unemployment_rate,-1.2999999999999998,0.8000000000000003,-1.6,-0.5
17019001206,Champaign — Senior-heavy residential area,Champaign,61822.0,Older age profile.,12.06,1.1,1.5,1.4,1.1,unemployment_rate,0.0,0.3999999999999999,-0.10000000000000009,-0.2999999999999998
17019001301,Champaign — Senior-heavy residential area,Champaign,61821.0,Older age profile.,13.01,4.2,5.2,6.8,6.1,unemployment_rate,1.8999999999999995,1.0,1.5999999999999996,-0.7000000000000002
17019001302,Savoy — Senior-heavy residential area,Savoy,61822.0,Older age profile.,13.02,4.0,3.6,0.0,0.5,unemployment_rate,-3.5,-0.3999999999999999,-3.6,0.5
17019001400,Champaign — Family-oriented residential area,Champaign,61874.0,Higher student concentration; more households with children.,14,2.3,1.5,1.6,0.9,unemployment_rate,-1.4,-0.7999999999999998,0.10000000000000009,-0.7000000000000001
17019005300,Urbana — Student-dense area,Urbana,61801.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,53,8.0,9.9,7.5,10.4,unemployment_rate,2.4000000000000004,1.9000000000000004,-2.4000000000000004,2.9000000000000004
17019005401,Urbana — Mixed residential area,Urbana,61802.0,Renter-heavy housing profile; more very-low-income households.,54.01,8.6,6.0,9.2,6.3,unemployment_rate,-2.3,-2.5999999999999996,3.1999999999999993,-2.8999999999999995
17019005402,Urbana — Senior-heavy residential area,Urbana,61802.0,Older age profile.,54.02,7.5,9.0,8.6,7.7,unemployment_rate,0.20000000000000018,1.5,-0.40000000000000036,-0.8999999999999995
17019005500,Urbana — Senior-heavy residential area,Urbana,61802.0,Older age profile.,55,4.3,2.0,3.1,2.0,unemployment_rate,-2.3,-2.3,1.1,-1.1
17019005701,Urbana — Senior-heavy residential area,Urbana,61801.0,Older age profile.,57.01,6.7,11.2,10.9,13.2,unemployment_rate,6.499999999999999,4.499999999999999,-0.29999999999999893,2.299999999999999
17019005702,Urbana — Senior-heavy residential area,Urbana,61802.0,Older age profile.,57.02,1.5,0.0,0.0,0.9,unemployment_rate,-0.6,-1.5,0.0,0.9
17019005800,Urbana — Higher economic stress area,Urbana,61801.0,Higher poverty rate; more very-low-income households.,58,3.1,3.6,4.0,4.3,unemployment_rate,1.1999999999999997,0.5,0.3999999999999999,0.2999999999999998
17019006000,Urbana — Student-dense area,Urbana,61802.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,60,5.6,4.2,5.7,3.2,unemployment_rate,-2.3999999999999995,-1.3999999999999995,1.5,-2.5
17019010100,Rantoul — Mixed residential area,Rantoul,61866.0,General tract context note not flagged by the current rule set.,101,4.3,1.0,1.1,1.1,unemployment_rate,-3.1999999999999997,-3.3,0.10000000000000009,0.0
17019010204,Rantoul — Mixed residential area,Rantoul,61866.0,General tract context note not flagged by the current rule set.,102.04,7.3,7.0,5.4,3.5,unemployment_rate,-3.8,-0.2999999999999998,-1.5999999999999996,-1.9000000000000004
17019010300,Rantoul — Family-oriented residential area,Rantoul,61866.0,Renter-heavy housing profile; higher poverty rate; more households with children.,103,6.5,9.4,11.0,7.8,unemployment_rate,1.2999999999999998,2.9000000000000004,1.5999999999999996,-3.2
17019010400,Rantoul — Senior-heavy residential area,Rantoul,61866.0,Older age profile.,104,3.8,4.3,3.4,3.4,unemployment_rate,-0.3999999999999999,0.5,-0.8999999999999999,0.0
17019010500,Fisher — Family-oriented residential area,Fisher,61843.0,More households with children; older age profile.,105,3.2,1.9,2.5,1.7,unemployment_rate,-1.5000000000000002,-1.3000000000000003,0.6000000000000001,-0.8
17019010601,Mahomet — Family-oriented residential area,Mahomet,61853.0,More households with children.,106.01,5.0,1.9,0.3,2.5,unemployment_rate,-2.5,-3.1,-1.5999999999999999,2.2
17019010603,Mahomet — Family-oriented residential area,Mahomet,61853.0,More households with children.,106.03,2.0,2.4,3.4,5.0,unemployment_rate,3.0,0.3999999999999999,1.0,1.6
17019010604,Champaign — Senior-heavy residential area,Champaign,61822.0,Older age profile.,106.04,4.3,2.8,1.2,1.3,unemployment_rate,-3.0,-1.5,-1.5999999999999999,0.10000000000000009
17019010800,Sidney — Senior-heavy residential area,Sidney,61877.0,More households with children; older age profile.,108,4.7,3.0,3.2,4.2,unemployment_rate,-0.5,-1.7000000000000002,0.20000000000000018,1.0
17019011100,Urbana — Student-dense area,Urbana,61801.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,111,11.9,7.2,2.3,2.7,unemployment_rate,-9.2,-4.7,-4.9,0.40000000000000036
17019000200,Champaign — Higher economic stress area,Champaign,61820.0,Higher poverty rate; more very-low-income households.,2,55.8,49.1,40.5,46.4,pct_hh_income_under_25k,-9.399999999999999,-6.699999999999996,-8.600000000000001,5.899999999999999
17019000301,Champaign — Student-dense area,Champaign,61820.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,3.01,79.9,79.6,79.8,80.7,pct_hh_income_under_25k,0.7999999999999972,-0.30000000000001137,0.20000000000000284,0.9000000000000057
17019000302,Champaign — Student-dense area,Champaign,61820.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,3.02,69.9,64.1,64.8,62.3,pct_hh_income_under_25k,-7.6000000000000085,-5.800000000000011,0.7000000000000028,-2.5
17019000401,Champaign — Student-dense area,Champaign,61820.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,4.01,88.8,88.0,80.5,85.1,pct_hh_income_under_25k,-3.700000000000003,-0.7999999999999972,-7.5,4.599999999999994
17019000402,Champaign — Student-dense area,Champaign,61820.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,4.02,87.3,87.2,81.0,76.2,pct_hh_income_under_25k,-11.099999999999994,-0.09999999999999432,-6.200000000000003,-4.799999999999997
17019000500,Champaign — Mixed residential area,Champaign,61820.0,More households with children.,5,28.4,27.7,28.5,29.5,pct_hh_income_under_25k,1.1000000000000014,-0.6999999999999993,0.8000000000000007,1.0
17019000700,Champaign — Mixed residential area,Champaign,61820.0,General tract context note not flagged by the current rule set.,7,28.5,30.5,23.3,23.7,pct_hh_income_under_25k,-4.800000000000001,2.0,-7.199999999999999,0.3999999999999986
17019000800,Champaign — Mixed residential area,Champaign,61822.0,Renter-heavy housing profile.,8,13.0,10.9,11.8,12.7,pct_hh_income_under_25k,-0.3000000000000007,-2.0999999999999996,0.9000000000000004,0.8999999999999986
17019000901,Champaign — Family-oriented residential area,Champaign,61821.0,More very-low-income households; more households with children.,9.01,30.4,30.9,24.8,30.1,pct_hh_income_under_25k,-0.29999999999999716,0.5,-6.099999999999998,5.300000000000001
17019000902,Champaign — Family-oriented residential area,Champaign,61822.0,More households with children.,9.02,12.9,12.5,8.8,9.8,pct_hh_income_under_25k,-3.0999999999999996,-0.40000000000000036,-3.6999999999999993,1.0
17019001000,Champaign — Mixed residential area,Champaign,61821.0,General tract context note not flagged by the current rule set.,10,26.1,21.3,15.0,16.6,pct_hh_income_under_25k,-9.5,-4.800000000000001,-6.300000000000001,1.6000000000000014
17019001100,Champaign — Senior-heavy residential area,Champaign,61821.0,Older age profile.,11,12.8,8.8,10.4,13.2,pct_hh_income_under_25k,0.3999999999999986,-4.0,1.5999999999999996,2.799999999999999
